,ALL,UNKNOWN,TTH_FWDH,TTH_PTH_0_60,TTH_PTH_60_120,TTH_PTH_120_200,TTH_PTH_200_300,TTH_PTH_300_450,TTH_PTH_GT450
hw_pdf4lhc_unc_23,0.0006222995145694846,2.2976386254976027e-05,7.128347938236631e-05,0.0002996861806843345,0.0003679778173720271,0.00031159978226029394,0.00020051247376330202,0.0001217107843412538,6.568686809304394e-05
hw_pdf4lhc_unc_24,0.0006221564196873284,2.300694612075616e-05,7.158116272225837e-05,0.00029964186408001935,0.00036789703332531295,0.000311453493715442,0.00020044159892303572,0.00012165092730707932,6.567261873654695e-05
hw_pdf4lhc_unc_25,0.0006220641514640042,2.296798014265659e-05,7.13284101660212e-05,0.00029966017711857305,0.00036789905923837005,0.0003113594563673431,0.00020041296758472671,0.00012160254424665251,6.561517641544779e-05
hw_pdf4lhc_unc_26,0.0006221028267244764,2.2983763701416502e-05,7.13759926501363e-05,0.00029977665656834437,0.00036799209130196657,0.00031137227845592105,0.0002002861346641388,0.0001214483516013543,6.548270441574457e-05
hw_pdf4lhc_unc_27,0.0006220056581649237,2.2869775727541885e-05,7.068688376677892e-05,0.00029974350719887117,0.0003679922286084628,0.00031135796934594645,0.00020034444646318555,0.00012145176024932682,6.538129560554249e-05
hw_pdf4lhc_unc_28,0.0006221120203924869,2.2993802041651272e-05,7.140600967190842e-05,0.0002996474990637652,0.00036788379054556825,0.00031140651002719097,0.00020045098468609633,0.00012165595259344194,6.568061491432292e-05
hw_pdf4lhc_unc_29,0.000622179606577574,2.2998112093694077e-05,7.143745860594642e-05,0.00029968696754849094,0.00036792991157668433,0.0003114515153578514,0.00020044572719243287,0.00012164797064065314,6.566411583538539e-05
hw_qcd_0,0.004145360901450909,2.4542978933245795e-05,0.0001599950629430925,0.003185829296694611,0.002268062543109361,0.0013072976246326622,0.0003616026612749662,0.0001358824573097416,7.715317198636144e-05
hw_qcd_1,0.0038031738053265957,2.3791659393101688e-05,0.00014538907933558503,0.0028904245338615708,0.002113356334845235,0.0012204575462780312,0.00033241736746618026,0.00012859481042934226,7.101709911555898e-05
hw_qcd_2,0.003478781725849544,2.337797545004014e-05,0.00012975420230524042,0.0026132946020575375,0.0019622258609480765,0.0011359534286246062,0.00030774107015710993,0.00012381573231630652,6.689927504669211e-05
hw_qcd_3,0.003211445642761059,2.327447376206492e-05,7.254766818079397e-05,0.0024539940953707253,0.001767489159398378,0.001025301144562675,0.00030017938377848146,0.00012436231286503066,6.824381340568729e-05
hw_qcd_4,0.002778104662212454,2.2745681251398308e-05,7.274982416052805e-05,0.002072516110107284,0.0015746961348266813,0.0009199258082132584,0.0002692884971223194,0.00011930846734219179,6.364251648481416e-05
hw_qcd_5,0.0026356737374634708,2.290563156126287e-05,0.00011378524472733857,0.001997610769697372,0.0014563356271739397,0.0008539843023058317,0.00027036073615378266,0.00012292418613519044,6.669019806047616e-05
hw_qcd_6,0.0024798629348070176,2.2710962464882974e-05,0.00011066433608850912,0.001856618824224827,0.0013903121338975286,0.0008188337694114347,0.00025987279332723184,0.00012120291182570982,6.514405366369271e-05
hw_qcd_7,0.0023276849720836185,2.264961804818487e-05,0.00011088039828365482,0.0017202550393821913,0.0013232566596573063,0.0007831769113513202,0.0002511617552431783,0.00012023882665294,6.417629071475746e-05
