,ALL,UNKNOWN,QQ2HQQ_FWDH,QQ2HQQ_0J,QQ2HQQ_1J,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_0_60_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_60_120_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_120_350_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_0_200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_350_700_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_700_1000_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_1000_1500_PTH_GT200_PTHJJ_GT25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_0_25,QQ2HQQ_GE2J_MJJ_GT1500_PTH_GT200_PTHJJ_GT25
hw_pdf4lhc_unc_17,0.00043587119654440776,1.0212341993731184e-06,0.0001224495496895653,0.00011706899318598789,0.00025393638453729585,3.084961209095234e-05,4.3557588127140965e-05,0.00011839264103810097,3.8338842147852496e-05,4.945242217412162e-05,8.246485506547664e-05,0.00013849506313042836,7.55092750416398e-05,0.00010087197088413935,5.1517987525932496e-05,9.786757036420765e-05,4.673945231324458e-05,0.00010276927227367636,4.189689256188513e-05,3.194836969516798e-05,2.808050487425866e-05,3.0375443651369836e-05,2.3239030364876966e-05,3.386295951396681e-05,2.389625212825308e-05,4.207455422570284e-05,2.5827389487031052e-05
hw_pdf4lhc_unc_18,0.00043592216504376445,1.0194600767647303e-06,0.00012240570772587814,0.00011717048395645713,0.0002540353710779283,3.085837036466326e-05,4.360533506352924e-05,0.00011857601071019284,3.8339663343428004e-05,4.945894219915155e-05,8.252586307463178e-05,0.00013861818745080644,7.553777413065215e-05,0.00010085549214797998,5.149037048245648e-05,9.77610087874664e-05,4.667189806477066e-05,0.0001025021373388887,4.1798734554303344e-05,3.1951576628137626e-05,2.8066978562735318e-05,3.0356155004203065e-05,2.3215204195159615e-05,3.3819329607538396e-05,2.3860215958262885e-05,4.196966336105441e-05,2.5758821526452924e-05
hw_pdf4lhc_unc_19,0.00043597243021939,1.0190915995902067e-06,0.0001223929062281554,0.00011713454943364846,0.00025412690620727244,3.085830774350348e-05,4.360752492044562e-05,0.00011850892393934076,3.8351585988608385e-05,4.9492354033261725e-05,8.256079791214233e-05,0.00013854435416540975,7.558576556120655e-05,0.0001008543412732661,5.1533881430428106e-05,9.778886325112651e-05,4.673188039064712e-05,0.00010252504902482584,4.183774875423649e-05,3.1968177085836544e-05,2.8096167701497305e-05,3.0362965179728084e-05,2.3234224928339038e-05,3.383027866704123e-05,2.3881184183429214e-05,4.193835179676307e-05,2.5786650518568656e-05
hw_pdf4lhc_unc_20,0.00043579646931754957,1.0310146335968224e-06,0.00012214297908413662,0.00011709608882511423,0.0002539378540909029,3.0860914918404675e-05,4.358771728958463e-05,0.00011843134537995983,3.835858204844112e-05,4.949562675145899e-05,8.254884989441611e-05,0.0001384981303847663,7.557296395067639e-05,0.00010085568271667633,5.156170144426718e-05,9.782569075082674e-05,4.677021089632211e-05,0.00010263250270096629,4.1883718798860926e-05,3.194932915776664e-05,2.8097959464062662e-05,3.036897656497896e-05,2.325011593227955e-05,3.384566054788751e-05,2.390555649788777e-05,4.200096890188325e-05,2.5811321019235653e-05
hw_pdf4lhc_unc_21,0.0004358085241857466,1.021823897039247e-06,0.00012232505488013308,0.00011714664294543653,0.00025393815859485,3.085970799957292e-05,4.361801619383482e-05,0.00011852213800091288,3.835771237395003e-05,4.950771429786092e-05,8.259194840066246e-05,0.00013850604706474145,7.558449656038039e-05,0.0001007793420678071,5.1542819406288395e-05,9.772557807161551e-05,4.6734169160988186e-05,0.0001025122182486819,4.1837060196064034e-05,3.1934074690037395e-05,2.8081718639540773e-05,3.034427241484854e-05,2.323260705453169e-05,3.38156858503864e-05,2.388680176216756e-05,4.194654412086104e-05,2.577867342258941e-05
hw_pdf4lhc_unc_22,0.00043579375729938457,1.012679773739046e-06,0.00012221020415310844,0.00011711400711588975,0.0002539350653064098,3.0859553046852425e-05,4.3602308660678925e-05,0.0001184947971292136,3.834934357149632e-05,4.948378802854123e-05,8.254975006621895e-05,0.00013852534295501708,7.555934777276597e-05,0.00010083958551437044,5.154098559955353e-05,9.780515562525109e-05,4.674311192515168e-05,0.00010253532467940782,4.1833634941318914e-05,3.195661560461101e-05,2.8093213824721015e-05,3.0369957423278957e-05,2.324068293159357e-05,3.3849114396388596e-05,2.390076581500735e-05,4.1954953502046794e-05,2.5784177788241983e-05
hw_pdf4lhc_unc_23,0.00043580120510069856,1.0209563802155921e-06,0.00012221498051506494,0.00011710143040672726,0.0002539420134664322,3.085834905353852e-05,4.358558178406525e-05,0.00011844482405770897,3.8354150918349357e-05,4.9487616592415955e-05,8.2544158482337e-05,0.0001385145472113657,7.557223246316252e-05,0.00010085466781414661,5.155634024634596e-05,9.781285232509527e-05,4.67585629139589e-05,0.00010257287543741663,4.186461797604685e-05,3.196097257315797e-05,2.8090955934910853e-05,3.0367949213456414e-05,2.3241180090320115e-05,3.384677360863718e-05,2.389943370073763e-05,4.19650862539308e-05,2.5799005306029885e-05
hw_pdf4lhc_unc_24,0.00043610812321848993,1.051940598119881e-06,0.00012300390918878996,0.00011704492735196947,0.00025394300440111686,3.085459179268793e-05,4.35548941628622e-05,0.00011832908854059705,3.8343233943952645e-05,4.9465552059204735e-05,8.249282924072555e-05,0.00013845234913320234,7.552858334551627e-05,0.00010085726052347386,5.156736999809181e-05,9.788965493291455e-05,4.678514577623072e-05,0.00010299843282389903,4.201669365368533e-05,3.196162539674906e-05,2.811582913039318e-05,3.037089141720425e-05,2.325360955087047e-05,3.3879255088868484e-05,2.3910249382802508e-05,4.221521220478347e-05,2.593518359494077e-05
hw_pdf4lhc_unc_25,0.0004359280621873748,1.0364182808716223e-06,0.00012226411372252656,0.00011717552640507674,0.0002540176778134166,3.0876168908659676e-05,4.3629814958165085e-05,0.00011852403555654082,3.8384149412081696e-05,4.9534905197226295e-05,8.264018095945128e-05,0.00013850844656294496,7.562384652009578e-05,0.00010079517555555817,5.157665565224881e-05,9.772688061172257e-05,4.679291725932034e-05,0.00010258097509580127,4.1963760863050235e-05,3.19530110535526e-05,2.8113183283353785e-05,3.0347339973873424e-05,2.3254585326020574e-05,3.3828647962456865e-05,2.3921978129552153e-05,4.197192119154602e-05,2.5857999524510664e-05
hw_pdf4lhc_unc_26,0.00043801519851395336,1.0295799805734158e-06,0.00012634521827638583,0.00011709629216803815,0.0002544758874414783,3.089409780105311e-05,4.356753415605645e-05,0.0001183061723369791,3.847822146923182e-05,4.959572660996561e-05,8.258656261863937e-05,0.00013855637050179704,7.561324150815477e-05,0.00010101862142616393,5.162447969896112e-05,9.816839700104876e-05,4.6849128651650204e-05,0.00010409264866970789,4.255872900086552e-05,3.193573157094048e-05,2.817968001867659e-05,3.0378274643557384e-05,2.3277248626620727e-05,3.401762133219115e-05,2.3929561626432502e-05,4.308981187557157e-05,2.617550241809583e-05
hw_pdf4lhc_unc_27,0.00043582290516953236,1.0320308977924573e-06,0.00012209585764506758,0.00011720189661457008,0.0002540242055731999,3.087403665322412e-05,4.363603525652476e-05,0.00011857489411603046,3.8369288074863034e-05,4.9521262153922745e-05,8.262533366508721e-05,0.00013858583608669154,7.562685283149088e-05,0.00010084272904652863,5.1567190105830264e-05,9.771908075711702e-05,4.673962429327953e-05,0.00010230163716283022,4.180440876208152e-05,3.195491993516179e-05,2.8105239436137596e-05,3.034910537644413e-05,2.3237068986769054e-05,3.3803297796950505e-05,2.38804228644133e-05,4.1844897402974286e-05,2.5749295651272646e-05
hw_pdf4lhc_unc_28,0.0004358523666589613,1.0369846342867587e-06,0.0001220646507584413,0.00011714994089976604,0.0002540170423611924,3.086524568670554e-05,4.360259616010719e-05,0.00011849389493734369,3.835979076597639e-05,4.950189617062497e-05,8.257616551002743e-05,0.00013853924047441536,7.559220950426659e-05,0.00010084489517005772,5.15523120128562e-05,9.78019027866821e-05,4.6763509402247515e-05,0.00010260358960018907,4.1876854854721384e-05,3.1948981453701424e-05,2.8089930332877005e-05,3.0356244407363087e-05,2.3233276583202348e-05,3.383689988599564e-05,2.390189516612169e-05,4.1969062436190005e-05,2.5801704063487605e-05
hw_pdf4lhc_unc_29,0.0004358531610579153,1.0422911448175569e-06,0.0001217588913503255,0.00011721931538602878,0.0002541092879697268,3.087824558913392e-05,4.362522961153432e-05,0.00011857342177025654,3.8377101438439756e-05,4.9530304532983576e-05,8.263931566095182e-05,0.00013868521923740204,7.566777560681469e-05,0.0001009163471830204,5.159289530509388e-05,9.777226284667078e-05,4.674768260360154e-05,0.00010230181854638463,4.175908281926652e-05,3.19656716144143e-05,2.810176135219565e-05,3.036620837668547e-05,2.3245796921832695e-05,3.380913239939841e-05,2.387860797379447e-05,4.183821575090267e-05,2.5712298498875395e-05
hw_qcd_0,0.0004486613872597627,1.02505370821822e-06,0.00012543992119428668,0.00012091317408198173,0.00026154773049075084,3.17673493425348e-05,4.3735473522805975e-05,0.00011709285847910579,3.930201634301384e-05,5.0179683756812144e-05,8.477259216870565e-05,0.00014431610202546223,7.588748616659232e-05,0.00010224676455121998,5.231630973961393e-05,0.0001008593421525659,4.823043864931715e-05,0.00011218041450836342,4.5528147280008415e-05,3.175443337085691e-05,2.8270305460611333e-05,3.0333260650133044e-05,2.3343391515401052e-05,3.410839134396218e-05,2.4121310410339873e-05,4.425438720161915e-05,2.7242235586012783e-05
hw_qcd_1,0.00044212043642598335,1.0221639573032998e-06,0.000124059721535699,0.00012071689184647346,0.0002583054870904624,3.130459346639909e-05,4.348601150473213e-05,0.00011730033592693592,3.87921581489192e-05,4.977340720803417e-05,8.374670460250508e-05,0.00014037182118473393,7.564699714492619e-05,0.00010174434523650183,5.1938687342672514e-05,9.947935406404315e-05,4.745133708277263e-05,0.00010599925831349204,4.308458631520953e-05,3.154458358881761e-05,2.793943102117138e-05,3.0181763310792758e-05,2.3139882221175203e-05,3.3850226539621104e-05,2.3898496997217883e-05,4.2636171152298595e-05,2.617592394174177e-05
